Number,Trade Date,Symbol,Side,Shares,Price,Volatility,ADV,AlphaBp
1,4/21/2025,IBM,Buy,309300,236.22,0.39,5153500,38
2,4/21/2025,TRV,Buy,145730,249.59,0.36,1616000,33
3,4/21/2025,EMR,Buy,324790,96.42,0.55,3611800,56
4,4/21/2025,IFF,Buy,21280,72.71,0.43,2113100,39
5,4/21/2025,SO,Buy,50150,90.23,0.23,5008400,22
6,4/21/2025,MSFT,Buy,262400,359.12,0.4,26193600,45
7,4/21/2025,DG,Buy,220160,95.61,0.46,5504300,8
8,4/21/2025,GDDY,Buy,51800,165.21,0.4,1731600,56
9,4/21/2025,FAST,Buy,86430,80.29,0.41,4317600,41
10,4/21/2025,BX,Buy,384540,120.22,0.74,6410200,18
11,4/21/2025,A,Buy,222610,100.26,0.47,2477000,50
12,4/21/2025,LYB,Buy,136320,56.3,0.69,4547300,42
13,4/21/2025,CCI,Buy,410930,102.13,0.42,4355900,27
14,4/21/2025,POOL,Buy,31740,296.56,0.43,454600,46
15,4/21/2025,ESS,Buy,16140,270.89,0.42,526500,10
16,4/21/2025,MKC,Buy,225070,74.67,0.32,2814100,23
17,4/21/2025,DTE,Buy,82600,131.78,0.26,1640200,24
18,4/21/2025,MCD,Buy,43200,308.72,0.28,4345200,30
19,4/21/2025,DRI,Buy,103150,197.07,0.41,1471400,34
20,4/21/2025,CPB,Buy,324520,37.57,0.32,3745400,20
21,4/21/2025,ABNB,Sell,120960,111.61,0.64,6031900,-63
22,4/21/2025,CSCO,Sell,266540,54.37,0.43,26598600,-38
23,4/21/2025,CBOE,Sell,41650,214.39,0.3,1028200,-13
24,4/21/2025,ETR,Sell,455010,80.51,0.32,5055200,-25
25,4/21/2025,VZ,Sell,1951500,42.93,0.34,29510100,-5
