Number,TradeDate,Symbol,OrderSide,Shares,Price,Volatility,ADV,AlphaBp,Size,Trade_Time,MI,TR,PA,Optimal POV,Minimize_Cost,Price_Improvement
1,4/21/2025,IBM,Buy,309300,236.22,0.39,5153500,38,0.060017463859512954,0.5401571747356165,30.187095680057396,104.66320988598767,10.262986319976713,0.07965042185850119,0.07465928747860776,0.19056683017354484
2,4/21/2025,TRV,Buy,145730,249.59,0.36,1616000,33,0.09017945544554455,0.8116150990099009,32.782361924034724,118.42596383771206,13.391649133663366,0.08225718626678442,0.08258345114560565,0.16778201675115997
3,4/21/2025,EMR,Buy,324790,96.42,0.55,3611800,56,0.08992469128966167,0.8093222216069551,45.00443913593752,180.67280630506406,22.661022204994744,0.08936617172783332,0.09264023583807066,0.1044473043577841
4,4/21/2025,IFF,Buy,21280,72.71,0.43,2113100,39,0.01007051251715489,0.09063461265439401,17.389820316123746,47.269919793736975,1.7673749467606832,0.06587014577329853,0.03845208148298082,0.5566656435818012
5,4/21/2025,SO,Buy,50150,90.23,0.23,5008400,22,0.010013177861193195,0.09011860075073876,10.85479822165438,25.211833146928132,0.9913046082581263,0.058291093393349765,0.03625992404737997,0.9899941583562332
6,4/21/2025,MSFT,Buy,262400,359.12,0.4,26193600,45,0.010017714250809358,0.09015942825728422,16.441434985714945,43.856597407407214,2.028587135788895,0.06491135717318812,0.04277608314862543,0.9899954320437044
7,4/21/2025,DG,Buy,220160,95.61,0.46,5504300,8,0.039997819886270734,0.35998037897643664,29.641951206131786,100.77820411935245,1.4399215159057466,0.07843861994762574,0.02563148929102825,0.19607658775769665
8,4/21/2025,GDDY,Buy,51800,165.21,0.4,1731600,56,0.029914529914529916,0.2692307692307692,24.111790389872034,75.78647467450735,7.538461538461538,0.07376885073317346,0.0712997220560871,0.27465617977603335
9,4/21/2025,FAST,Buy,86430,80.29,0.41,4317600,41,0.02001806559199555,0.18016259032795998,21.340831288047944,63.54560717482635,3.6933331017231796,0.07071961516491172,0.051517904394004194,0.3421911061362211
10,4/21/2025,BX,Buy,384540,120.22,0.74,6410200,18,0.05998876790115753,0.5398989111104178,48.79484824842889,198.54424988704312,4.85909019999376,0.09031917082039473,0.03802372395896842,0.09271317047389412
11,4/21/2025,A,Buy,222610,100.26,0.47,2477000,50,0.08987081146548244,0.808837303189342,39.991309729695814,154.34686489614904,20.22093257973355,0.08664092629629568,0.09285279251374803,0.12440236892793055
12,4/21/2025,LYB,Buy,136320,56.3,0.69,4547300,42,0.02997822883909133,0.26980405955182196,36.31989713635384,130.87078245486904,5.6658852505882615,0.08209269787319887,0.04866215830769839,0.14365263580495782
13,4/21/2025,CCI,Buy,410930,102.13,0.42,4355900,27,0.09433871300994054,0.8490484170894649,37.385582477775216,141.31390154526272,11.462153630707776,0.08523397869655873,0.07053618421476526,0.13755455220559254
14,4/21/2025,POOL,Buy,31740,296.56,0.43,454600,46,0.06981962164540255,0.628376594808623,34.24673440550021,124.46516641487256,14.452661680598329,0.08264758485605093,0.08407352285733376,0.15697856681522465
15,4/21/2025,ESS,Buy,16140,270.89,0.42,526500,10,0.030655270655270656,0.27589743589743587,25.225482046692168,80.55499793499901,1.3794871794871795,0.0746887173567041,0.027356360657708616,0.25442870728299305
16,4/21/2025,MKC,Buy,225070,74.67,0.32,2814100,23,0.0799793895028606,0.7198145055257454,28.776006012336982,99.1356009822481,8.277866813546073,0.0792535761550198,0.06810952082164519,0.20544980870771534
17,4/21/2025,DTE,Buy,82600,131.78,0.26,1640200,24,0.050359712230215826,0.45323741007194246,20.945216173839395,63.91541172608612,5.438848920863309,0.07208539068036306,0.06438360262633744,0.3547554409510212
18,4/21/2025,MCD,Buy,43200,308.72,0.28,4345200,30,0.009942004971002486,0.08947804473902236,12.549028835432882,30.583391369694663,1.3421706710853354,0.06050948868277779,0.03954561380740204,0.9899941583562332
19,4/21/2025,DRI,Buy,103150,197.07,0.41,1471400,34,0.07010330297675683,0.6309297267908115,33.091927402406284,118.91693855995193,10.725805355443795,0.08191851806465823,0.07272598713831366,0.16538962802338705
20,4/21/2025,CPB,Buy,324520,37.57,0.32,3745400,20,0.08664495114006515,0.7798045602605864,29.593635971452958,103.18396966627716,7.798045602605864,0.0800033350539498,0.06490545356732175,0.19657892980701813
21,4/21/2025,ABNB,Sell,120960,111.61,0.64,6031900,-63,0.020053382847858885,0.18048044563072996,29.821285354936727,99.28060604861152,5.685134037367994,0.07716041497405511,0.054329583154653034,0.1942323397843316
22,4/21/2025,CSCO,Sell,266540,54.37,0.43,26598600,-38,0.010020828163888326,0.09018745347499492,17.35974370473037,47.153169066389815,1.7135616160249034,0.06583212133458663,0.037843458845812736,0.5601422397275517
23,4/21/2025,CBOE,Sell,41650,214.39,0.3,1028200,-13,0.04050768333009142,0.36456914997082274,21.607510631510138,66.14249617038861,2.3696994748103477,0.07226117972728419,0.04009513856784973,0.33424157777208563
24,4/21/2025,ETR,Sell,455010,80.51,0.32,5055200,-25,0.09000830827662605,0.8100747744896344,29.99073404613507,105.16758493486387,10.12593468112043,0.08036240421993933,0.07437622180916754,0.1925186038201542
25,4/21/2025,VZ,Sell,1951500,42.93,0.34,29510100,-5,0.06612990128803359,0.5951691115923022,28.175663115403754,95.77859837498156,1.4879227789807556,0.07842936796909449,0.02683704815284357,0.2124486401694211
